topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The National Judicial Institute (NJI) trains,police officers,judicial officers,soldiers,civil servants,B,NJI provides continuing education for judges and magistrates.,
General,The body that disciplines erring judges is the,EFCC,National Judicial Council,Police,Senate,B,NJC recommends disciplinary action against judges.,
General,The NJC is chaired by the,President,Chief Justice of Nigeria,Attorney General,Senate President,B,The CJN chairs the National Judicial Council.,
General,The constitution guarantees security of tenure for judges to,allow political interference,ensure judicial independence,reduce their salaries,allow easy removal,B,Security of tenure protects judges from arbitrary removal.,
General,A judicial officer can be removed for,making fair judgments,gross misconduct or incapacity,being impartial,upholding the constitution,B,Removal requires proven misconduct as recommended by NJC and approved by the legislature.,
General,The rule of law requires that,the president is above the law,laws are applied equally to all,only the rich are protected,judges make all laws,B,Equality before the law is a core element of the rule of law.,
General,The principle of natural justice demands,trial without defence,fair hearing and absence of bias,conviction without evidence,secret proceedings,B,Natural justice ensures impartiality and the right to be heard.,
General,The concept of 'audi alteram partem' means,hear the other side,judge alone,ignore the accused,punish without trial,A,It is the principle that no one should be judged without a hearing.,
General,The principle 'nemo judex in causa sua' means,a person can judge their own case,no one should be a judge in their own cause,judges are above the law,the president is the final judge,B,It ensures impartiality by preventing conflict of interest.,
General,The term 'federalism' refers to,concentration of power at the centre,division of powers between central and regional governments,one-party rule,military government,B,Federalism divides power between a central authority and constituent units.,
General,A major feature of federalism is,a written constitution,a unitary legislature,a strong central government only,the absence of a judiciary,A,Federal systems typically have written constitutions delineating powers.,
General,The division of powers in a federal system includes,"exclusive, concurrent, and residual lists",only exclusive list,only concurrent list,only residual list,A,"Powers are divided among exclusive, concurrent, and residual lists.",
General,Exclusive powers in Nigeria are exercised by the,state governments,federal government,local governments,traditional rulers,B,Exclusive powers belong only to the federal government.,
General,Concurrent powers in Nigeria are shared between,federal and state governments,state and local governments,federal and local governments,all three tiers,A,Concurrent powers are shared by federal and state governments.,
General,Residual powers in Nigeria belong to the,federal government,state governments,local governments,judiciary,B,Residual powers are those not listed and belong to states.,
General,The revenue allocation formula is determined by the,President,Revenue Mobilization Allocation and Fiscal Commission,Senate only,Governors,B,RMAFC recommends the formula for sharing federal revenue.,
General,The federation account is shared among,federal government only,"federal, state, and local governments",state governments only,local governments only,B,Revenue is shared vertically among the three tiers of government.,
General,The principle of derivation in revenue allocation ensures,equal sharing,producing states receive a percentage of revenue from their resources,all revenue goes to the centre,states keep all revenue,B,Derivation principle allocates a proportion to the area of origin.,
General,State creation in Nigeria requires approval by,the President alone,two-thirds of the National Assembly and two-thirds of states,a referendum,the Supreme Court,B,Creating a new state requires a supermajority at both federal and state levels.,
General,Local government chairmen are elected for a term of,2 years,3 years,4 years,5 years,C,Local government officials serve four-year terms as stipulated by state laws.,
