topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The Universal Basic Education (UBE) programme provides,university education only,free and compulsory basic education,military training,vocational skills only,B,UBE ensures nine years of free basic education.,
General,Nomadic education is designed for,urban children,children of migrant communities,only girls,wealthy families,B,It caters to the educational needs of nomadic pastoralists and fisherfolk.,
General,The National Health Insurance Scheme (NHIS) aims to,provide free treatment for all,ensure access to affordable healthcare,privatize hospitals,train traditional healers,B,NHIS pools resources to provide health coverage for contributors.,
General,The primary healthcare system in Nigeria is managed by,federal government,state government,local government,private sector,C,Local governments are responsible for primary healthcare.,
General,The National Population Commission (NPC) conducts,elections,census,trials,road construction,B,NPC is responsible for population census and demographic data.,
General,Population data is important for,election rigging,planning and resource allocation,increasing corruption,reducing education,B,Census data guides government policy and development planning.,
General,The movement of people from rural to urban areas is called,immigration,rural-urban migration,emigration,tourism,B,Rural-urban migration involves relocation from countryside to cities.,
General,Overpopulation in cities leads to,improved living standards,housing shortages and traffic congestion,less pollution,more farmland,B,Urban congestion results in inadequate housing and infrastructure pressure.,
General,Brain drain refers to,increase in intelligence,emigration of skilled professionals,import of technology,decline in education,B,Brain drain is the loss of highly skilled workers to other countries.,
General,The National Directorate of Employment (NDE) was created to,provide loans to banks,reduce unemployment through skills acquisition,conduct elections,regulate oil companies,B,NDE implements programmes to create employment opportunities.,
General,Poverty alleviation programmes in Nigeria include,N-Power and Tradermoni,election campaigns,military operations,tax collection,A,N-Power and Tradermoni are social intervention programmes.,
General,The Sustainable Development Goals (SDGs) replaced the,AU Charter,Millennium Development Goals (MDGs),ECOWAS Treaty,UN Charter,B,SDGs succeeded the MDGs in 2015 with 17 global goals.,
General,Goal 4 of the SDGs focuses on,poverty,quality education,clean water,climate action,B,SDG 4 aims to ensure inclusive and equitable quality education.,
General,Goal 1 of the SDGs aims to,promote war,end poverty in all its forms,increase inequality,reduce education,B,SDG 1 targets the eradication of extreme poverty.,
General,Goal 16 of the SDGs promotes,corruption,"peace, justice, and strong institutions",violence,dictatorship,B,SDG 16 focuses on peaceful societies and accountable institutions.,
General,The largest ethnic group in Nigeria is the,Igbo,Hausa-Fulani,Yoruba,Ijaw,B,The Hausa-Fulani are the largest ethnic group in Nigeria.,
General,Nigeria has over how many ethnic groups?,100,250,400,500,B,Nigeria is estimated to have over 250 ethnic groups.,
General,The major languages in Nigeria are,"English, French, Spanish","Hausa, Igbo, Yoruba","Swahili, Zulu, Twi","Arabic, Chinese, Russian",B,"Hausa, Igbo, and Yoruba are the three major indigenous languages.",
General,Religious tolerance means,forcing everyone to one religion,respecting others' religious beliefs,banning all religions,promoting only one faith,B,Tolerance allows coexistence of diverse religious beliefs.,
General,The two major religions in Nigeria are,Hinduism and Buddhism,Christianity and Islam,Judaism and Taoism,Shinto and Sikhism,B,Christianity and Islam are the most practiced religions.,
General,The National Hajj Commission of Nigeria (NAHCON) coordinates,Christian pilgrimages,Muslim pilgrimages to Mecca,traditional festivals,election campaigns,B,NAHCON organizes the annual Hajj for Nigerian Muslims.,
General,The Nigerian Christian Pilgrim Commission (NCPC) oversees,Hajj operations,Christian pilgrimages to Jerusalem and Rome,traditional rites,political rallies,B,NCPC facilitates pilgrimages for Nigerian Christians.,
General,The Sharia legal system is practiced in some,Southern states,Northern states,Eastern states,all states,B,Sharia law applies mainly in predominantly Muslim northern states.,
General,The customary law is based on,English law,traditions and customs of a community,Roman law,international law,B,Customary law derives from accepted local customs and practices.,
General,The received English law in Nigeria includes,Sharia law,"common law, equity, and statutes of general application",customary law,traditional law,B,English law forms part of Nigerian law through colonial heritage.,
General,Judicial precedent means,ignoring previous judgments,lower courts following decisions of higher courts,judges making new laws,the president deciding cases,B,Stare decisis requires courts to follow established precedents.,
General,A court with original jurisdiction hears cases,on appeal only,for the first time,only constitutional matters,only criminal matters,B,Original jurisdiction means the court hears the case initially.,
General,Appellate jurisdiction allows a court to,conduct trials,review decisions of lower courts,execute judgments,arrest offenders,B,Appellate courts hear appeals from lower courts.,
General,The Supreme Court has how many justices?,7,15,21,30,C,The Supreme Court can have up to 21 justices as prescribed by law.,
General,The Federal High Court has jurisdiction over,state criminal cases,federal matters including taxation and banking,customary law,Sharia law,B,Federal High Court handles cases arising from federal laws.,
General,A magistrate court handles,constitutional matters,minor criminal and civil cases,election petitions,admiralty law,B,Magistrate courts are courts of summary jurisdiction.,
General,The Director of Public Prosecutions (DPP) is responsible for,defending the accused,prosecuting criminal cases on behalf of the state,appointing judges,making laws,B,The DPP initiates and conducts public prosecutions.,
General,Legal aid provides,free legal services to the wealthy,free or subsidized legal services to the indigent,loans to lawyers,payment for judges,B,Legal aid ensures access to justice for those who cannot afford it.,
General,The Legal Aid Council of Nigeria was established to,prosecute all cases,provide legal assistance to the poor,train judges,write the constitution,B,The Council ensures indigent citizens have access to legal representation.,
General,Alternative Dispute Resolution (ADR) includes,only litigation,"mediation, arbitration, and conciliation",military trials,legislative hearings,B,ADR resolves disputes outside the traditional court system.,
General,Arbitration involves,a judge deciding a case,a neutral third party making a binding decision,the president intervening,public voting,B,Arbitration is a private process where an arbitrator issues a binding award.,
General,Mediation differs from arbitration because,it is more expensive,the mediator does not impose a decision,it requires a judge,it is always public,B,Mediation facilitates negotiation; the parties reach their own agreement.,
General,The Multi-Door Courthouse concept promotes,only litigation,multiple dispute resolution options,only arbitration,only mediation,B,It offers various ADR mechanisms under one roof.,
General,The National Human Rights Commission can,make laws,investigate human rights violations,conduct elections,appoint judges,B,NHRC investigates and addresses human rights complaints.,
General,The Public Defender's Office provides,legal representation for the government,free legal services to indigent persons,prosecution services,prison management,B,It offers pro bono legal defense for those who cannot pay.,
General,The concept of 'innocent until proven guilty' is known as,presumption of guilt,presumption of innocence,judicial bias,executive privilege,B,An accused is considered innocent until proven guilty by a court.,
General,Double jeopardy means,being tried twice for different offences,being tried again for the same offence after acquittal,appealing a conviction,plea bargaining,B,The constitution prohibits double jeopardy; no retrial after acquittal.,
General,The term 'sub judice' refers to,a concluded case,a matter under judicial consideration,an executive order,a legislative debate,B,Sub judice restricts public comment on ongoing court cases.,
General,Contempt of court includes,obeying court orders,disobeying or disrespecting the court,praising the judiciary,filing a lawsuit,B,Contempt punishes actions that defy or undermine court authority.,
General,The Chief Judge of a state is appointed by the,President,Governor on recommendation of NJC,Senate,House of Assembly,B,"The Governor appoints the Chief Judge based on NJC advice, subject to House confirmation.",
General,The Grand Khadi of the Sharia Court of Appeal is appointed by the,President,Governor,Chief Justice,Senate,B,The Governor appoints the Grand Khadi on NJC recommendation.,
General,The President of the Customary Court of Appeal is appointed by the,Senate,Governor,President,Local Government Chairman,B,The Governor makes the appointment based on NJC recommendation.,
General,Judges of the Supreme Court retire at the age of,60,65,70,75,C,Supreme Court justices retire at 70 years.,
General,Judges of the Court of Appeal and High Court retire at,60,65,70,75,B,These judges retire at 65 years of age.,
General,The judiciary is independent when it is,controlled by the executive,free from interference by other arms of government,subject to military control,funded by private individuals,B,Judicial independence ensures impartial adjudication.,
