topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The Legal Aid Council of Nigeria was established to,prosecute all cases,provide legal assistance to the poor,train judges,write the constitution,B,"The Legal Aid Council was established to provide free or subsidized legal services to indigent Nigerians who cannot afford legal representation. It does not prosecute all cases (A), train judges (C), or write the constitution (D).",
General,Alternative Dispute Resolution (ADR) includes,only litigation,"mediation, arbitration, and conciliation",military trials,legislative hearings,B,"ADR refers to methods of resolving disputes outside the traditional court system. These include mediation (a neutral third party helps parties reach agreement), arbitration (a neutral third party makes a binding decision), and conciliation. Litigation (A) is the formal court process, not ADR. Military trials (C) and legislative hearings (D) are not dispute resolution mechanisms.",
General,Arbitration involves,a judge deciding a case,a neutral third party making a binding decision,the president intervening,public voting,B,"Arbitration is a private dispute resolution process where parties agree to submit their dispute to a neutral third party (arbitrator) whose decision is binding. A judge (A) decides cases in court, not arbitration. The president (C) does not intervene in arbitration. Public voting (D) is not a dispute resolution method.",
General,Mediation differs from arbitration because,it is more expensive,the mediator does not impose a decision,it requires a judge,it is always public,B,"In mediation, the mediator facilitates negotiation and helps parties reach their own agreement, but does not impose a decision. In arbitration, the arbitrator makes a binding decision. Mediation is generally less expensive (A), does not require a judge (C), and is usually private, not public (D).",
General,The Multi-Door Courthouse concept promotes,only litigation,multiple dispute resolution options,only arbitration,only mediation,B,"The Multi-Door Courthouse is a concept that offers litigants multiple dispute resolution options—including mediation, arbitration, conciliation, and litigation—under one roof. It is not limited to litigation (A), arbitration (C), or mediation (D) alone.",
General,The National Human Rights Commission can,make laws,investigate human rights violations,conduct elections,appoint judges,B,"The National Human Rights Commission (NHRC) is empowered to investigate complaints of human rights violations, recommend remedies, and promote human rights awareness. It cannot make laws (A), conduct elections (C), or appoint judges (D).",
General,The Public Defender's Office provides,legal representation for the government,free legal services to indigent persons,prosecution services,prison management,B,"The Public Defender's Office offers pro bono legal defence and representation to persons who cannot afford private lawyers. It does not represent the government (A), prosecute cases (C), or manage prisons (D).",
General,The concept of 'innocent until proven guilty' is known as,presumption of guilt,presumption of innocence,judicial bias,executive privilege,B,The presumption of innocence is a fundamental legal principle that an accused person is considered innocent until proven guilty in a court of law. Presumption of guilt (A) is the opposite. Judicial bias (C) is an unfair leaning by a judge. Executive privilege (D) relates to the executive's right to withhold information.,
General,Double jeopardy means,being tried twice for different offences,being tried again for the same offence after acquittal,appealing a conviction,plea bargaining,B,Double jeopardy is the constitutional prohibition against trying a person a second time for the same offence after they have been acquitted or convicted. It does not apply to different offences (A). Appeal (C) is a legal right to challenge a conviction. Plea bargaining (D) is negotiation between prosecution and defence.,
General,The term 'sub judice' refers to,a concluded case,a matter under judicial consideration,an executive order,a legislative debate,B,Sub judice is a Latin term meaning 'under judgment'. It refers to a matter that is currently before a court and therefore should not be publicly discussed to avoid prejudicing the outcome. A concluded case (A) is no longer sub judice. An executive order (C) and legislative debate (D) are unrelated.,
