topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The term 'state' in political science refers to,a government department,a politically organized community with sovereignty,a province,a local government,B,"A state has a defined territory, population, government, and sovereignty.",
General,Legitimacy in government refers to,the use of force,the acceptance of authority by the people,military rule,economic power,B,Legitimacy is the popular acceptance of government's right to rule.,
General,Which of the following is a feature of a sovereign state?,Dependence on another state,Supremacy over internal affairs,Control by a foreign power,Lack of defined territory,B,Sovereignty implies supreme internal authority and independence.,
General,Traditional legitimacy is based on,elections,customs and traditions,the constitution,military decrees,B,Traditional legitimacy derives from long-established customs.,
General,Charismatic authority is based on,legal rules,the personal qualities of a leader,tradition,wealth,B,Charismatic authority rests on a leader's exceptional personal appeal.,
General,Legal-rational authority is associated with,traditional rulers,modern bureaucratic states,military regimes,monarchies,B,Legal-rational authority is based on law and established procedures.,
General,The concept of 'power' in politics refers to,the ability to influence or control behaviour,only military strength,wealth only,popularity,A,Power is the capacity to affect outcomes and behaviour.,
General,Authority differs from power because authority,is illegal,is accepted as legitimate,relies on force only,is always temporary,B,Authority is legitimate power recognized by the governed.,
General,A federal state is best suited for a country with,a homogeneous population,diverse ethnic and cultural groups,a small territory,one religion only,B,Federalism accommodates diversity by sharing powers.,
General,One advantage of federalism is,centralization of power,promotion of local autonomy and unity in diversity,elimination of state governments,faster decision-making at the centre,B,Federalism balances central unity with regional autonomy.,
General,A disadvantage of federalism is,unity,duplication of functions and inter-state conflict,efficiency,quick decisions,B,Federalism can lead to administrative duplication and disputes.,
General,The supremacy of the constitution means,the executive is above the law,the constitution is the highest law,parliament can ignore the constitution,judges make laws,B,The constitution is the grundnorm; all laws must conform.,
General,A flexible constitution is one that,cannot be amended,can be amended by ordinary legislative process,is unwritten only,is rigid,B,Flexible constitutions are easily amendable.,
General,The Nigerian Constitution is described as rigid because,amendment requires a special majority,it cannot be changed,it is unwritten,only the president can amend it,A,Special procedures are required for amendment.,
General,"A constitution that exists in documents, statutes, and judicial decisions is",written,unwritten,rigid,flexible,B,"An unwritten constitution is derived from multiple sources, as in the UK.",
General,The primary function of the executive is to,make laws,implement and enforce laws,interpret laws,adjudicate disputes,B,The executive carries out and enforces legislation.,
General,The power of the executive to pardon offenders is called,judicial review,prerogative of mercy,veto,impeachment,B,The executive can grant pardons under the prerogative of mercy.,
General,The legislature can check the executive through,issuing decrees,confirmation of appointments and impeachment,commanding the army,declaring war unilaterally,B,The legislature confirms appointments and can impeach the executive.,
General,Judicial independence is important because,judges can be bribed,it ensures impartial adjudication,the executive controls judges,the legislature appoints judges,B,Independence guarantees fair and impartial justice.,
General,The doctrine of separation of powers prevents,efficiency,concentration of power in one branch,elections,economic development,B,It prevents tyranny by dividing governmental powers.,
