topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The primary source of government revenue in Nigeria is,agriculture,crude oil exports,tourism,manufacturing,B,Oil accounts for the majority of Nigeria's government revenue.,
General,Tax evasion is,lawful avoidance of tax,illegal failure to pay taxes,payment of taxes,tax refund,B,Tax evasion is the illegal non-payment or underpayment of taxes.,
General,The Federal Inland Revenue Service (FIRS) is responsible for,state tax collection,federal tax assessment and collection,local government revenue,printing money,B,FIRS administers federal taxes.,
General,Value Added Tax (VAT) is a tax on,income,goods and services,property,imports only,B,VAT is a consumption tax on goods and services.,
General,The body that investigates and prosecutes corrupt practices is the,NAFDAC,EFCC and ICPC,NYSC,NOA,B,EFCC and ICPC are anti-corruption agencies.,
General,The Freedom of Information Act was enacted in Nigeria in,1999,2007,2011,2015,C,The FOI Act was signed into law in 2011.,
General,The primary objective of the FOI Act is to,restrict information,make public records accessible,increase secrecy,punish journalists,B,The Act promotes transparency by granting access to public information.,
General,The National Identity Management Commission (NIMC) issues,international passport,national identity card,driver's licence,voter's card,B,NIMC manages the national identity database and issues ID cards.,
General,The Nigerian Security and Civil Defence Corps (NSCDC) is primarily responsible for,military operations,protection of critical infrastructure,election conduct,tax collection,B,"NSCDC protects pipelines, government assets, and critical infrastructure.",
General,The National Emergency Management Agency (NEMA) responds to,elections,disasters and emergencies,tax issues,criminal cases,B,NEMA coordinates disaster response and management.,
General,The Consumer Protection Council protects,government agencies,consumers from unfair trade practices,politicians,foreign investors,B,The CPC ensures consumer rights and fair market practices.,
General,The National Agency for Food and Drug Administration and Control (NAFDAC) regulates,elections,"food, drugs, and cosmetics",oil and gas,education,B,NAFDAC ensures safety and quality of consumable products.,
General,The Standards Organisation of Nigeria (SON) sets,political standards,quality standards for products,educational curriculum,military standards,B,SON develops and enforces industrial standards.,
General,The National Assembly can override a presidential veto with,simple majority,two-thirds majority,unanimous vote,presidential consent,B,A two-thirds majority in both chambers can override a veto.,
General,A vote of no confidence can lead to,promotion of the executive,removal of the executive in a parliamentary system,declaration of war,amendment of the constitution,B,"In parliamentary systems, a no-confidence vote forces government resignation.",
General,The term 'lobbying' refers to,voting in elections,seeking to influence legislators on specific issues,protesting violently,running for office,B,Lobbying involves advocacy to persuade lawmakers.,
General,The 'spoils system' in government refers to,merit-based appointments,giving government jobs to political supporters,competitive exams,civil service neutrality,B,The spoils system rewards loyalists with public offices.,
General,The merit system in civil service emphasizes,nepotism,qualification and competence,political loyalty,ethnicity,B,The merit system promotes based on ability and qualifications.,
General,The Administrative Tribunal handles,criminal cases,disputes between citizens and government agencies,election petitions,constitutional amendments,B,Tribunals adjudicate administrative grievances.,
General,The National Industrial Court handles,criminal cases,labour and employment disputes,election petitions,constitutional cases,B,The NIC has jurisdiction over labour and industrial relations.,
General,The Sharia Court of Appeal handles cases involving,all Nigerians,Islamic personal law,Christian law,criminal cases,B,Sharia Courts apply Islamic law to personal matters for Muslims.,
General,The Customary Court of Appeal deals with,federal law,customary law matters,international law,military law,B,It handles appeals on customary law issues.,
General,The armed forces consist of the,"Army, Navy, and Air Force",Police and Civil Defence,Customs and Immigration,FRSC and NAFDAC,A,"The military comprises the Army, Navy, and Air Force.",
General,The para-military agencies in Nigeria include,Army and Navy,"Customs, Immigration, and Prisons",Senate and House,EFCC and ICPC,B,Para-military agencies enforce specific laws and regulations.,
General,The Nigeria Prisons Service is now called,Nigeria Police,Nigeria Correctional Service,Nigeria Army,Nigeria Immigration,B,It was renamed to reflect a focus on correction and rehabilitation.,
General,The Federal Road Safety Corps (FRSC) is responsible for,air travel safety,road traffic administration and safety,railway safety,maritime safety,B,FRSC regulates and enforces road safety laws.,
General,The Nigerian Immigration Service issues,driver's licence,international passport and visa,national ID card,voter's card,B,"Immigration manages passports, visas, and border control.",
General,The Nigerian Customs Service is responsible for,tax collection,border protection and revenue from imports,road safety,prison management,B,Customs enforces import/export regulations and collects duties.,
General,The National Boundary Commission handles,election boundaries only,interstate and international boundary disputes,constituency delineation,local government creation,B,It resolves boundary issues between states and with other countries.,
General,The Independent Corrupt Practices Commission (ICPC) was established in,1999,2000,2003,2010,B,ICPC was created by the Corrupt Practices and Other Related Offences Act 2000.,
General,The primary role of the media in a democracy is to,promote government propaganda,"inform, educate, and hold government accountable",entertain only,support only the ruling party,B,The media serves as the watchdog of society and informs citizens.,
General,The Nigerian Press Council regulates,social media,the conduct of journalists and media ethics,government policies,election results,B,It ensures ethical standards in journalism.,
General,Censorship of the media refers to,supporting the media,restricting or suppressing information,training journalists,funding newspapers,B,Censorship limits freedom of expression.,
General,The right to peaceful assembly and protest is guaranteed under,Section 33,Section 40,Section 34,Section 38,B,Section 40 guarantees the right to assemble freely and form associations.,
