topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,Government is best defined as the,body that makes laws only,machinery through which the will of the state is formulated and implemented,group of people who rule by force,organization that conducts elections,B,Government is the institution through which state policies are made and enforced.,
General,The state is distinguished from government because the state is,temporary,permanent while government changes,elected,appointed,B,The state is permanent; governments change periodically.,
General,The theory of separation of powers was propounded by,John Locke,Baron de Montesquieu,Jean-Jacques Rousseau,Thomas Hobbes,B,Montesquieu articulated the separation of powers in 'The Spirit of the Laws'.,
General,The three arms of government are the,"federal, state, and local","executive, legislature, and judiciary","president, governor, and chairman","army, police, and civil defence",B,"Government is divided into executive, legislature, and judiciary.",
General,Judicial review is the power of the judiciary to,make laws,interpret and nullify unconstitutional actions,appoint the president,dissolve parliament,B,Judicial review ensures laws and actions comply with the constitution.,
General,A written constitution is one that,exists only in documents,is contained in a single document or set of documents,is unwritten,is based on customs,B,Written constitutions are codified in formal documents.,
General,Which of the following is a type of democracy?,Direct democracy,Oligarchy,Theocracy,Monarchy,A,Direct democracy involves citizens deciding directly; representative democracy is the other type.,
General,A major feature of democracy is,one-party rule,free and fair elections,military control,hereditary succession,B,Free and fair elections are essential to democracy.,
General,A federal system of government is characterized by,concentration of power at the centre,division of powers between central and regional governments,one-party rule,a unitary legislature,B,Federalism shares power between central and constituent units.,
General,The presidential system of government is characterized by,fusion of powers,separation of powers and a fixed term for the executive,parliamentary supremacy,collective responsibility,B,Presidentialism separates powers and gives the executive a fixed term.,
General,The concept of collective responsibility applies to the,judiciary,cabinet in a parliamentary system,legislature,civil service,B,Cabinet members collectively support decisions.,
General,Which of the following is a feature of the 1999 Nigerian Constitution?,Unitary system,Federal system,Parliamentary system,Confederal system,B,The 1999 Constitution establishes a federal system.,
General,The head of the judiciary in Nigeria is the,Attorney General,Chief Justice of Nigeria,President of the Court of Appeal,Minister of Justice,B,The Chief Justice of Nigeria heads the judiciary.,
General,The Independent National Electoral Commission (INEC) is responsible for,making laws,conducting elections,interpreting laws,appointing judges,B,INEC conducts and supervises elections.,
General,A pressure group seeks to,form government,influence government policies,make laws,conduct elections,B,Pressure groups advocate for specific interests without seeking office.,
General,The mass media influences government by,making laws,shaping public opinion and holding government accountable,appointing judges,collecting taxes,B,"The media informs, educates, and critiques government.",
General,Universal adult suffrage means,only men can vote,all qualified adults can vote regardless of gender or class,only the rich can vote,only educated people vote,B,Universal adult suffrage enfranchises all eligible adults.,
General,Electoral malpractice includes,free and fair voting,vote buying and ballot stuffing,transparent counting,impartial umpires,B,Malpractice involves illegal manipulation of elections.,
General,Proportional representation aims to,over-represent large parties,allocate seats based on vote share,elect only independents,favour the military,B,PR matches seat allocation to the proportion of votes received.,
General,A manifesto is,a ballot paper,a political party's programme of action,a voter's card,an election result,B,A manifesto outlines a party's policies and promises.,
General,An electoral constituency is,a political party,a geographic area represented by an elected official,the presidency,the judiciary,B,A constituency is a district whose voters elect a representative.,
General,A coalition government is formed when,one party wins an absolute majority,no single party wins a majority,the president dissolves parliament,the military intervenes,B,Parties ally to form a majority coalition.,
General,The first military coup in Nigeria occurred in,1960,1966,1975,1983,B,The first coup was on 15 January 1966.,
General,The Nigerian Civil War lasted from,1960-1963,1966-1970,1967-1970,1970-1975,C,The civil war was fought from 1967 to 1970.,
General,The current Nigerian Constitution was enacted in,1960,1979,1989,1999,D,The 1999 Constitution is currently in force.,
General,The primary purpose of government is to,collect taxes,maintain law and order and provide welfare,build roads only,conduct elections,B,"Government exists to ensure order, security, and citizens' welfare.",
General,Which of the following is an essential feature of a state?,A written constitution,Sovereignty,A president,Political parties,B,Sovereignty is a defining attribute of a state.,
General,Sovereignty refers to,the power to make laws,the supreme and final authority of the state,military power,economic power,B,Sovereignty is the ultimate authority over a territory and people.,
General,The executive arm of government is responsible for,making laws,interpreting laws,implementing laws,punishing offenders,C,The executive implements and enforces laws.,
General,The legislature is primarily concerned with,executing policies,lawmaking and oversight,judging cases,collecting taxes,B,The legislature makes laws and holds the executive accountable.,
General,A constitution is best described as,a set of customs,the fundamental laws and principles of a state,a political manifesto,an election guideline,B,A constitution is the supreme body of laws governing a state.,
General,The Nigerian Constitution is described as rigid because,it cannot be amended,its amendment requires a special procedure,it is written by the military,it is unwritten,B,Rigid constitutions require special amendment procedures.,
General,Representative democracy is practiced when,all citizens vote on every issue,citizens elect representatives to make decisions,the military rules,one party rules,B,"In representative democracy, elected officials act for the people.",
General,The rule of law means,rule by the president,equality before the law and supremacy of the law,rule by the military,rule by the rich,B,The rule of law ensures no one is above the law.,
General,"In a unitary system of government, power is concentrated in the",local governments,central government,state governments,regional councils,B,A unitary system centralizes authority in the national government.,
General,"In a parliamentary system, the head of government is the",president,prime minister,chief justice,monarch,B,The prime minister heads the executive in a parliamentary system.,
General,A major feature of a confederation is,a strong central government,a weak centre and strong component units,a military government,a one-party system,B,"In a confederation, component units retain significant autonomy.",
