topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The right to life can be deprived in,no circumstance,execution of a court sentence,peaceful protest,civil cases,B,Life may be taken in execution of a death sentence by a competent court.,
General,The right to freedom of movement can be restricted during,elections,public holidays,state of emergency or curfew,weekends,C,Movement may be restricted for public safety and order.,
General,A writ of habeas corpus requires,payment of debt,production of a detained person before a court,arrest of a judge,dissolution of parliament,B,Habeas corpus protects against unlawful detention.,
General,The fundamental right to dignity of the human person prohibits,free speech,torture and inhuman treatment,voting,fair hearing,B,Section 34 prohibits torture and degrading treatment.,
General,Freedom of association allows citizens to,commit crimes,form or join political parties and trade unions,disobey the law,destroy public property,B,Citizens may freely associate and form organizations.,
General,The right to fair hearing includes,trial in secret,trial within a reasonable time by an impartial court,punishment without trial,self-help,B,Fair hearing guarantees impartial justice without undue delay.,
General,The right against discrimination is guaranteed under,Section 42,Section 33,Section 39,Section 45,A,"Section 42 prohibits discrimination on grounds of ethnicity, religion, sex, etc.",
General,A citizen whose right has been breached can seek,revenge,redress in court,migration,bribery,B,The judiciary provides remedy for rights violations.,
General,The Fundamental Rights Enforcement Procedure Rules allow,slow trial,speedy hearing of human rights cases,discrimination,unlawful detention,B,FREP Rules ensure quick determination of rights violation cases.,
General,The Nigerian Constitution is described as rigid because,it cannot be amended,its amendment requires a special procedure,it is flexible,it is unwritten,B,"A rigid constitution requires a special, often difficult, amendment process.",
General,The preamble to the constitution states that sovereignty belongs to,the president,the people of Nigeria,the military,the judiciary,B,The constitution declares that sovereignty resides in the people.,
General,The term 'constitutional democracy' means,rule by the military,government according to the provisions of the constitution,absolute monarchy,dictatorship,B,Constitutional democracy operates within the limits set by the constitution.,
General,The Federal Capital Territory (FCT) is headed by a,Governor,Minister,President,Senator,B,The FCT is administered by a Minister appointed by the President.,
General,State creation in Nigeria requires approval by,the President alone,two-thirds of the National Assembly and two-thirds of states,a referendum,the Supreme Court,B,Creating a new state requires a supermajority at both federal and state levels.,
General,The revenue allocation formula is determined by the,President,Revenue Mobilization Allocation and Fiscal Commission,Senate only,Governors,B,RMAFC recommends the formula for sharing federal revenue.,
General,The federation account is shared among,federal government only,"federal, state, and local governments",state governments only,local governments only,B,Revenue is shared vertically among the three tiers of government.,
General,The principle of derivation in revenue allocation ensures,equal sharing,producing states receive a percentage of revenue from their resources,all revenue goes to the centre,states keep all revenue,B,Derivation principle allocates a proportion to the area of origin.,
General,The primary source of government revenue in Nigeria is,agriculture,crude oil exports,tourism,manufacturing,B,Oil accounts for the majority of Nigeria's government revenue.,
General,Tax evasion is,lawful avoidance of tax,illegal failure to pay taxes,payment of taxes,tax refund,B,Tax evasion is the illegal non-payment or underpayment of taxes.,
General,The Federal Inland Revenue Service (FIRS) is responsible for,state tax collection,federal tax assessment and collection,local government revenue,printing money,B,FIRS administers federal taxes.,
General,Value Added Tax (VAT) is a tax on,income,goods and services,property,imports only,B,VAT is a consumption tax on goods and services.,
General,The body that investigates and prosecutes corrupt practices is the,NAFDAC,EFCC and ICPC,NYSC,NOA,B,EFCC and ICPC are anti-corruption agencies.,
General,The Freedom of Information Act was enacted in Nigeria in,1999,2007,2011,2015,C,The FOI Act was signed into law in 2011.,
General,The primary objective of the FOI Act is to,restrict information,make public records accessible,increase secrecy,punish journalists,B,The Act promotes transparency by granting access to public information.,
General,The National Identity Management Commission (NIMC) issues,international passport,national identity card,driver's licence,voter's card,B,NIMC manages the national identity database and issues ID cards.,
General,The Nigerian Security and Civil Defence Corps (NSCDC) is primarily responsible for,military operations,protection of critical infrastructure,election conduct,tax collection,B,"NSCDC protects pipelines, government assets, and critical infrastructure.",
General,The National Emergency Management Agency (NEMA) responds to,elections,disasters and emergencies,tax issues,criminal cases,B,NEMA coordinates disaster response and management.,
General,The Consumer Protection Council protects,government agencies,consumers from unfair trade practices,politicians,foreign investors,B,The CPC ensures consumer rights and fair market practices.,
General,The National Agency for Food and Drug Administration and Control (NAFDAC) regulates,elections,"food, drugs, and cosmetics",oil and gas,education,B,NAFDAC ensures safety and quality of consumable products.,
General,The Standards Organisation of Nigeria (SON) sets,political standards,quality standards for products,educational curriculum,military standards,B,SON develops and enforces industrial standards.,
General,The National Assembly can override a presidential veto with,simple majority,two-thirds majority,unanimous vote,presidential consent,B,A two-thirds majority in both chambers can override a veto.,
General,A vote of no confidence can lead to,promotion of the executive,removal of the executive in a parliamentary system,declaration of war,amendment of the constitution,B,"In parliamentary systems, a no-confidence vote forces government resignation.",
General,The term 'lobbying' refers to,voting in elections,seeking to influence legislators on specific issues,protesting violently,running for office,B,Lobbying involves advocacy to persuade lawmakers.,
General,The 'spoils system' in government refers to,merit-based appointments,giving government jobs to political supporters,competitive exams,civil service neutrality,B,The spoils system rewards loyalists with public offices.,
General,The merit system in civil service emphasizes,nepotism,qualification and competence,political loyalty,ethnicity,B,The merit system promotes based on ability and qualifications.,
General,The Administrative Tribunal handles,criminal cases,disputes between citizens and government agencies,election petitions,constitutional amendments,B,Tribunals adjudicate administrative grievances.,
General,The National Industrial Court handles,criminal cases,labour and employment disputes,election petitions,constitutional cases,B,The NIC has jurisdiction over labour and industrial relations.,
General,The Sharia Court of Appeal handles cases involving,all Nigerians,Islamic personal law,Christian law,criminal cases,B,Sharia Courts apply Islamic law to personal matters for Muslims.,
General,The Customary Court of Appeal deals with,federal law,customary law matters,international law,military law,B,It handles appeals on customary law issues.,
General,The armed forces consist of the,"Army, Navy, and Air Force",Police and Civil Defence,Customs and Immigration,FRSC and NAFDAC,A,"The military comprises the Army, Navy, and Air Force.",
General,The para-military agencies in Nigeria include,Army and Navy,"Customs, Immigration, and Prisons",Senate and House,EFCC and ICPC,B,Para-military agencies enforce specific laws and regulations.,
General,The Nigeria Prisons Service is now called,Nigeria Police,Nigeria Correctional Service,Nigeria Army,Nigeria Immigration,B,It was renamed to reflect a focus on correction and rehabilitation.,
General,The Federal Road Safety Corps (FRSC) is responsible for,air travel safety,road traffic administration and safety,railway safety,maritime safety,B,FRSC regulates and enforces road safety laws.,
General,The Nigerian Immigration Service issues,driver's licence,international passport and visa,national ID card,voter's card,B,"Immigration manages passports, visas, and border control.",
General,The Nigerian Customs Service is responsible for,tax collection,border protection and revenue from imports,road safety,prison management,B,Customs enforces import/export regulations and collects duties.,
General,The National Boundary Commission handles,election boundaries only,interstate and international boundary disputes,constituency delineation,local government creation,B,It resolves boundary issues between states and with other countries.,
General,The Independent Corrupt Practices Commission (ICPC) was established in,1999,2000,2003,2010,B,ICPC was created by the Corrupt Practices and Other Related Offences Act 2000.,
