topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The concept of separation of powers implies that,the three arms of government are independent of one another,the executive controls the legislature,the judiciary makes laws,the legislature executes laws,A,Separation of powers ensures the three arms operate independently.,
General,The main function of the judiciary is to,make laws,interpret laws and adjudicate disputes,implement policies,conduct elections,B,The judiciary interprets laws and settles disputes.,
General,The doctrine of checks and balances prevents,effective governance,concentration of power in one arm of government,the legislature from making laws,the executive from enforcing laws,B,Checks and balances prevent any branch from becoming too powerful.,
General,The executive can check the legislature through,judicial review,veto power,impeachment,elections,B,The president can veto bills passed by the legislature.,
General,The legislature checks the executive through,making appointments,confirmation of appointments and impeachment,commanding the army,declaring war unilaterally,B,The Senate confirms appointments and can impeach the president.,
General,The rule of law was popularized by,V. Dicey,Karl Marx,Jean-Jacques Rousseau,John Locke,A,A.V. Dicey articulated the principles of the rule of law.,
General,Which of the following is a principle of the rule of law?,Executive supremacy,Equality before the law,Judicial supremacy,Legislative immunity,B,Equality before the law is a core principle.,
General,The absence of the rule of law leads to,good governance,dictatorship and abuse of power,economic prosperity,judicial independence,B,"Without the rule of law, leaders may act arbitrarily.",
General,A fundamental human right guaranteed in the Nigerian Constitution is,right to employment,right to life,right to free housing,right to free education,B,The right to life is guaranteed under Section 33.,
General,The right to freedom of expression is guaranteed under,Section 33,Section 35,Section 39,Section 42,C,Section 39 guarantees freedom of expression and the press.,
General,The right to private and family life is protected under,Section 37,Section 33,Section 40,Section 45,A,Section 37 guarantees privacy.,
General,The right against discrimination is guaranteed under,Section 42,Section 33,Section 39,Section 45,A,Section 42 prohibits discrimination.,
General,A citizen whose right has been breached can seek,revenge,redress in court,migration,bribery,B,The judiciary provides remedy for rights violations.,
General,The Fundamental Rights Enforcement Procedure Rules ensure,slow trial,speedy hearing of human rights cases,discrimination,unlawful detention,B,They ensure quick determination of rights violation cases.,
General,The body responsible for the protection of human rights in Nigeria is the,EFCC,NHRC,ICPC,NDLEA,B,The National Human Rights Commission (NHRC) promotes and protects human rights.,
General,The Universal Declaration of Human Rights was adopted in,1945,1948,1950,1960,B,The UDHR was proclaimed in 1948.,
General,The National Human Rights Commission can,make laws,investigate human rights violations,conduct elections,appoint judges,B,NHRC investigates and addresses rights violations.,
General,Citizenship by birth is based on,naturalization,jus sanguinis or jus soli,registration,marriage,B,Jus sanguinis (right of blood) and jus soli (right of soil).,
General,The process by which a non-citizen becomes a citizen is called,registration,naturalization,election,nomination,B,Naturalization is the legal process of acquiring citizenship.,
General,Dual citizenship in Nigeria is allowed for,citizens by birth,naturalized citizens,all citizens,only the president,A,Citizens by birth can hold dual nationality.,
General,A person who is not a citizen of any country is described as,an alien,a refugee,stateless,an immigrant,C,Stateless persons have no nationality recognized by any state.,
General,The primary purpose of the National Orientation Agency (NOA) is to,conduct elections,promote patriotism and national values,enforce laws,collect census data,B,NOA promotes national consciousness and civic responsibility.,
General,The National Youth Service Corps (NYSC) was established in,1960,1963,1973,1999,C,NYSC was created in 1973 to promote national unity.,
General,The primary purpose of the NYSC is to,generate revenue,promote national unity and integration,train soldiers,provide free labour,B,NYSC fosters unity by posting graduates to different states.,
General,The Federal Character Principle ensures,domination by one ethnic group,equitable distribution of positions,exclusion of minorities,appointment based on wealth,B,The principle ensures fair representation.,
General,A major challenge to national unity in Nigeria is,inter-ethnic marriage,religious tolerance,ethnic and religious conflicts,national sports,C,Ethnic and religious tensions threaten unity.,
General,The Nigerian national anthem was adopted in,1960,1963,1978,1999,C,The current anthem was adopted in 1978.,
General,The Nigerian flag was designed by,Nnamdi Azikiwe,Taiwo Akinkunmi,Obafemi Awolowo,Ahmadu Bello,B,Taiwo Akinkunmi designed the Nigerian flag in 1959.,
General,The green colour on the Nigerian flag represents,peace,agriculture and natural wealth,unity,hope,B,Green symbolizes agriculture and natural wealth.,
General,The white colour on the Nigerian flag stands for,purity and peace,unity and faith,peace and unity,strength,C,White represents peace and unity.,
General,The motto on the Nigerian coat of arms is,Peace and Unity,Unity and Faith,"Unity and Faith, Peace and Progress",One Nigeria,C,"The motto is 'Unity and Faith, Peace and Progress'.",
General,The Nigerian national pledge was written by,Taiwo Akinkunmi,Felix Idiga,Professor Felicia Adebola Adedoyin,John Pepper Clark,C,Professor Felicia Adebola Adedoyin authored the National Pledge.,
General,Respect for national symbols demonstrates,ignorance,patriotism,rebellion,apathy,B,Honouring national symbols shows patriotism.,
General,The Code of Conduct Bureau is responsible for,conducting elections,enforcing ethical standards for public officers,interpreting laws,collecting taxes,B,The Bureau enforces the code of conduct for public officers.,
