topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The primary function of the legislature is to,execute laws,make laws,interpret laws,enforce judgments,B,The legislature is the law-making arm of government.,
General,The Nigerian National Assembly is bicameral because it consists of,the President and Vice President,the Senate and House of Representatives,the Governor and Deputy Governor,the Supreme Court and Court of Appeal,B,Bicameralism in Nigeria comprises the Senate and the House of Representatives.,
General,The Senate has how many members?,36,109,360,774,B,The Senate has 109 members: three per state and one for the FCT.,
General,The House of Representatives has how many members?,109,360,240,774,B,The House of Representatives has 360 members.,
General,The presiding officer of the Senate is the,Speaker,Senate President,Chief Whip,Clerk,B,The Senate President presides over Senate proceedings.,
General,The Speaker of the House of Representatives is elected by,the President,members of the House,the Senate,the judiciary,B,The Speaker is elected by members of the House.,
General,A bill goes through how many readings in the National Assembly before passage?,Two,Three,Four,Five,B,"A bill undergoes first, second, and third readings.",
General,The committee stage of a bill involves,final voting only,detailed examination and amendment,presidential assent,public announcement,B,Committees scrutinize and amend bills in detail.,
General,The power of the purse belongs to the,executive,legislature,judiciary,civil service,B,The legislature controls public funds through appropriation.,
General,Appropriation is the process of,collecting taxes,authorizing government expenditure,printing money,borrowing loans,B,Appropriation is the legislative approval of spending.,
General,Oversight function of the legislature means,making laws,monitoring the executive,interpreting laws,conducting elections,B,The legislature monitors executive implementation of policies.,
General,The executive in Nigeria is headed by the,Chief Justice,President,Senate President,Speaker,B,The President heads the executive arm.,
General,The Vice President of Nigeria is elected,separately,on the same ticket as the President,by the Senate,by the House of Representatives,B,The Vice President runs on a joint ticket with the President.,
General,The minimum age to contest for President in Nigeria is,30 years,35 years,40 years,45 years,C,Presidential candidates must be at least 40 years old.,
General,The minimum age to contest for Governor is,30 years,35 years,40 years,45 years,B,Gubernatorial candidates must be at least 35 years old.,
General,The minimum age to contest for Senator is,25 years,30 years,35 years,40 years,C,Senatorial candidates must be at least 35 years old.,
General,The minimum age to contest for House of Representatives is,21 years,25 years,30 years,35 years,B,House of Representatives candidates must be at least 25.,
General,The President can be removed from office through,referendum,impeachment,recall,resignation only,B,Impeachment is the constitutional removal process.,
General,The Chief Justice of Nigeria is appointed by the,Senate alone,President on the recommendation of the NJC,House of Representatives,Governors,B,"The President appoints the CJN on NJC advice, subject to Senate confirmation.",
General,The National Judicial Council is chaired by the,President,Chief Justice of Nigeria,Attorney General,Senate President,B,The CJN chairs the National Judicial Council.,
General,Judges of the Supreme Court retire at the age of,60,65,70,75,C,Supreme Court justices retire at 70 years.,
General,Judges of the Court of Appeal retire at,60 years,65 years,70 years,75 years,B,Court of Appeal judges retire at 65.,
General,The doctrine of judicial precedent is also called,habeas corpus,stare decisis,audi alteram partem,nemo judex,B,Stare decisis means lower courts follow higher court decisions.,
General,A court with original jurisdiction hears cases,on appeal only,for the first time,only constitutional matters,only criminal matters,B,Original jurisdiction means first-instance hearing.,
General,Appellate jurisdiction allows a court to,conduct trials,review decisions of lower courts,execute judgments,arrest offenders,B,Appellate courts hear appeals from lower courts.,
General,The highest court in Nigeria is the,Court of Appeal,Federal High Court,Supreme Court,Sharia Court of Appeal,C,The Supreme Court is the apex court.,
General,The Federal High Court has jurisdiction over,state criminal cases,federal matters including taxation and banking,customary law,Sharia law,B,Federal High Court handles federal causes.,
General,A magistrate court handles,constitutional matters,minor criminal and civil cases,election petitions,admiralty law,B,Magistrate courts are summary courts.,
General,The Director of Public Prosecutions is responsible for,defending the accused,prosecuting criminal cases for the state,appointing judges,making laws,B,The DPP conducts public prosecutions.,
General,Legal aid provides,free legal services to the wealthy,free or subsidized legal services to the indigent,loans to lawyers,payment for judges,B,Legal aid ensures access to justice for the poor.,
General,The Legal Aid Council of Nigeria was established to,prosecute all cases,provide legal assistance to the poor,train judges,write the constitution,B,It ensures indigent citizens have legal representation.,
General,Alternative Dispute Resolution (ADR) includes,only litigation,"mediation, arbitration, and conciliation",military trials,legislative hearings,B,ADR resolves disputes outside court.,
General,Arbitration involves,a judge deciding a case,a neutral third party making a binding decision,the president intervening,public voting,B,An arbitrator issues a binding award.,
General,Mediation differs from arbitration because,it is more expensive,the mediator does not impose a decision,it requires a judge,it is always public,B,Mediators facilitate agreement; parties decide.,
General,The Multi-Door Courthouse concept promotes,only litigation,multiple dispute resolution options,only arbitration,only mediation,B,It offers various ADR mechanisms.,
General,The National Human Rights Commission can,make laws,investigate human rights violations,conduct elections,appoint judges,B,NHRC investigates and addresses rights violations.,
General,The Public Defender's Office provides,legal representation for the government,free legal services to indigent persons,prosecution services,prison management,B,It offers pro bono legal defence.,
